Strefa,Sezon,Pora_dnia,Temperatura_C,Wilgotnosc_rel_%,Predkosc_wiatru_m_s,Cisnienie_hPa,Halas_dB,Oswietlenie_lx,PM2_5_ug_m3,PM10_ug_m3,CO2_ppm,VOC_ppb,NO2_ppb,O3_ppb,SO2_ppb,UV_indeks,Opady_mm,Zachmurzenie_%
podmiejska,lato,popołudnie,23.6,83.6,3.41,1009.5,59.9,11799,5.28,24.33,367,86,14.9,69.6,6.1,5.6,0.59,38
miejska,wiosna,rano,10.28,73.6,2.67,1019.1,66.5,4534,50.92,29.62,397,128,38.0,38.5,6.0,1.9,3.21,42
miejska,lato,południe,24.36,57.4,2.26,1001.7,74.3,17877,16.28,29.0,434,87,38.0,82.7,6.5,8.2,0.0,52
miejska,lato,południe,25.48,62.2,0.45,1034.9,74.8,18217,17.0,34.75,463,92,32.3,77.8,6.8,8.2,2.83,0
miejska,jesień,południe,7.92,77.6,5.28,1005.3,72.0,15649,13.62,30.6,350,106,31.6,69.5,5.2,7.1,0.6,52
wiejska,zima,rano,-1.34,99.5,2.34,1018.9,43.0,4464,4.97,24.95,384,31,5.4,33.1,8.5,0.8,2.4,46
przemysłowa,zima,południe,-9.35,87.8,2.22,1011.8,74.4,12671,26.98,35.43,472,130,37.9,54.2,15.1,4.8,1.52,56
miejska,jesień,noc,7.89,73.2,6.52,997.0,59.4,1,8.99,21.2,371,77,41.8,23.2,5.0,0.0,0.6,62
wiejska,zima,noc,4.93,58.1,2.61,1008.5,33.3,1,11.03,11.98,350,44,2.7,34.3,5.3,0.0,9.23,37
wiejska,jesień,południe,8.03,79.3,4.43,1022.9,54.5,14613,9.44,5.6,350,41,8.4,66.1,2.7,5.6,0.6,74
podmiejska,zima,południe,-0.38,90.9,1.72,1043.6,63.2,14416,8.6,14.02,408,60,17.4,64.4,6.2,5.6,1.33,95
miejska,lato,południe,19.56,57.4,3.09,1019.8,70.3,17461,20.36,18.03,402,110,38.2,76.5,6.2,7.9,0.32,50
wiejska,wiosna,południe,18.3,57.5,3.59,1028.6,55.2,15573,2.0,7.04,350,46,1.0,78.0,3.3,6.3,1.32,55
miejska,jesień,popołudnie,8.32,80.9,3.36,1028.4,68.9,8386,16.33,14.84,401,72,36.7,47.7,3.5,3.7,1.54,65
wiejska,zima,popołudnie,-3.43,100.0,1.47,1011.4,52.8,7439,6.3,12.43,370,30,9.9,43.1,2.6,2.9,4.5,64
podmiejska,wiosna,południe,10.25,62.9,3.62,1003.2,60.3,15102,6.35,7.17,370,71,2.7,75.7,1.5,6.2,2.81,22
przemysłowa,jesień,rano,13.85,76.1,4.75,1028.0,71.1,3844,15.5,36.16,453,156,43.6,24.6,9.4,0.9,4.14,41
miejska,lato,popołudnie,29.15,51.1,0.0,1006.8,68.7,11732,22.49,33.67,499,86,38.2,67.2,1.1,5.1,0.0,41
wiejska,lato,południe,23.31,34.8,3.54,1020.0,57.2,17948,11.81,10.96,350,53,1.0,81.4,1.5,8.1,0.0,56
podmiejska,zima,noc,-1.34,98.7,0.96,1016.2,46.3,1,12.85,27.28,475,63,14.8,14.0,5.1,0.0,0.0,66
miejska,lato,południe,28.35,55.4,3.59,1020.4,71.0,17632,12.22,32.38,350,85,31.7,73.0,3.8,8.2,0.08,42
miejska,jesień,rano,10.67,67.9,6.56,1032.6,60.3,2615,16.2,27.31,355,46,27.0,27.7,5.3,0.3,0.8,0
podmiejska,lato,popołudnie,31.54,49.1,0.0,1012.2,56.9,10983,8.3,20.27,412,60,16.2,63.7,7.1,5.6,1.77,51
podmiejska,zima,noc,2.84,78.4,0.87,1012.6,41.2,1,9.98,13.98,388,76,26.5,21.1,7.7,0.0,2.33,63
miejska,lato,południe,20.0,77.8,1.65,1016.8,64.9,17674,18.31,15.48,413,84,37.0,77.1,1.6,8.1,0.68,71
wiejska,wiosna,południe,17.6,61.4,3.22,1015.4,48.5,14632,5.71,9.84,367,48,5.6,74.9,3.1,6.5,0.83,44
przemysłowa,jesień,południe,9.35,84.8,2.81,1012.1,77.2,15241,25.73,41.82,492,138,42.1,30.5,10.8,4.2,2.54,69
podmiejska,zima,rano,-4.1,95.9,1.42,1025.7,51.3,4216,7.22,15.63,388,62,10.3,22.7,4.9,0.4,1.7,72
miejska,lato,południe,27.8,56.3,1.85,1010.5,73.1,18156,14.44,27.81,436,97,35.7,79.3,6.2,8.1,0.0,39
wiejska,jesień,rano,9.44,86.9,2.73,1008.7,44.5,3522,3.84,8.12,350,38,6.2,59.8,2.5,0.6,2.34,68
przemysłowa,wiosna,popołudnie,13.25,69.4,3.67,1023.9,71.4,15689,22.46,38.12,475,152,40.8,44.3,8.2,5.8,1.16,49
miejska,jesień,południe,11.56,77.1,2.64,1017.6,70.9,9624,15.32,22.98,382,88,29.5,48.6,6.5,4.5,1.27,63
podmiejska,lato,południe,26.4,54.2,2.11,1011.9,58.2,15983,10.18,14.46,365,55,13.3,82.4,4.1,7.8,0.21,48
przemysłowa,zima,noc,-5.73,94.1,1.22,1007.8,75.9,1,28.36,46.27,501,177,39.8,18.5,14.3,0.0,0.0,82
wiejska,wiosna,rano,12.3,68.7,3.19,1019.1,46.1,6138,4.41,9.67,358,44,2.4,76.0,1.9,4.2,0.93,40
miejska,jesień,południe,9.81,81.2,5.08,1005.3,70.7,14759,18.44,33.16,407,118,34.2,51.5,5.9,5.9,0.44,66
podmiejska,zima,popołudnie,-1.85,88.3,1.93,1029.6,60.7,8351,8.17,17.44,395,70,14.9,25.1,6.7,2.2,0.76,77
przemysłowa,wiosna,południe,14.26,64.9,3.56,1008.8,73.9,16325,19.26,35.93,458,145,37.2,55.4,7.5,5.5,1.82,54
miejska,zima,południe,0.38,97.8,1.26,1013.4,68.6,13322,17.41,30.74,410,95,36.4,29.8,6.9,4.2,2.63,61
wiejska,jesień,noc,5.75,92.4,3.06,1016.7,39.1,1,5.12,9.28,362,33,3.8,42.2,3.6,0.0,0.0,80
podmiejska,lato,południe,30.5,47.8,0.73,1011.4,59.1,16845,12.61,19.88,380,64,20.2,70.5,6.4,8.1,0.46,50
miejska,wiosna,południe,15.82,65.9,3.24,1022.3,68.3,15468,20.65,28.92,389,107,33.0,60.2,7.2,6.8,0.79,41
przemysłowa,jesień,popołudnie,8.92,89.5,2.34,1009.2,78.4,12654,24.58,43.74,490,166,41.3,33.7,10.9,3.5,1.42,71
wiejska,wiosna,popołudnie,18.14,58.6,3.84,1026.7,53.9,16578,4.89,10.42,350,46,1.3,79.1,2.8,5.9,1.58,46
podmiejska,zima,południe,2.74,87.1,1.84,1020.2,57.6,12431,9.85,18.62,378,58,12.6,41.9,5.7,3.1,2.04,69
miejska,wiosna,rano,11.56,72.3,4.12,1015.6,65.4,4921,14.78,26.45,395,78,28.4,35.6,5.4,1.7,3.12,55
przemysłowa,lato,południe,27.89,50.2,2.09,1004.5,76.3,17234,23.12,40.56,487,142,36.5,60.8,9.1,6.7,0.0,48
miejska,zima,rano,-2.56,95.3,1.58,1014.7,62.5,5321,13.45,22.67,392,83,33.1,28.4,6.4,2.1,3.45,58
wiejska,lato,południe,25.67,40.3,3.88,1018.3,54.3,17245,9.76,11.34,350,50,2.1,83.2,2.9,7.4,0.0,53
podmiejska,wiosna,rano,12.45,68.4,2.97,1016.5,62.8,7324,7.56,16.78,385,68,11.2,50.3,4.8,2.5,2.67,33
